Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,Sale,JF (Score),EF (No. of people not same surname at current address),ND (Months since last CCJ)
CTM,Level accelerated,Y,N,37.0,30,34.4,0,9999,1,1
CTM,Level,N,Y,54.0,30,38.51,0,9999,1,1
CTM,Level with CI,Y,N,44.0,10,44.47,0,9999,1,1
CTM,Level with CI,Y,Y,32.0,20,81.33,0,9999,1,1
Direct,Level,Y,Y,34.0,30,91.45,0,9999,1,1
CTM,Level,Y,Y,51.0,20,105.94,0,9999,1,1
Direct,Level with CI,N,Y,32.0,30,9.06,0,9999,1,1
CTM,Level,Y,N,35.0,20,9.76,0,9999,1,1
Direct,Level with CI,Y,Y,44.0,30,10.92,0,9999,1,1
Direct,Decreasing with CI,N,N,53.0,25,48.34,0,585,0,1
CTM,Decreasing,Y,N,50.0,30,25.07,0,9999,1,1
CTM,Level accelerated,N,Y,35.0,30,11.63,0,9999,1,1
CTM,Level with CI,Y,Y,56.0,30,11.63,0,9999,1,1
CTM,Level,Y,Y,47.0,40,12.3,0,543,0,1
Direct,Decreasing,Y,Y,46.0,15,52.03,0,531,0,1
Direct,Level,N,N,44.0,30,30.0,0,531,0,1
Direct,Level,N,Y,46.0,10,25.14,0,546,0,1
CTM,Decreasing accelerated,N,N,57.0,30,25.14,0,546,0,1
Direct,Decreasing accelerated,Y,N,48.0,20,54.53,1,544,0,1
MSM,Level with CI,Y,Y,62.0,20,54.53,1,544,0,1
CTM,Level,N,N,55.0,25,54.53,1,544,0,1
MSM,Decreasing,N,N,52.0,20,30.95,0,556,0,1
CTM,Level with CI,N,N,47.0,30,30.89,0,556,0,1
CTM,Level,Y,Y,35.0,10,24.99,0,556,0,1
CTM,Level,Y,N,24.0,10,24.99,0,556,0,1
Direct,Level,Y,N,34.0,10,30.89,0,556,0,1
CTM,Decreasing with CI,Y,N,33.0,20,144.95,0,9999,1,1
Direct,Level,N,Y,39.0,5,165.94,0,9999,1,1
CTM,Level with CI,N,Y,35.0,20,15.69,0,9999,1,1
CTM,Level,Y,N,45.0,25,17.59,0,9999,1,1
CTM,Decreasing with CI,Y,Y,44.0,20,19.94,0,9999,1,1
Direct,Level,N,N,45.0,10,28.07,0,9999,1,1
Direct,Level,N,N,60.0,30,31.73,0,9999,1,1
CTM,Decreasing,N,Y,56.0,30,36.16,0,9999,1,1
Direct,Decreasing,Y,N,51.0,20,11.47,0,9999,1,1
CTM,Level with CI,N,Y,44.0,20,12.67,0,9999,1,1
CTM,Decreasing with CI,Y,Y,47.0,10,14.45,0,9999,1,1
MSM,Decreasing with CI,N,N,34.0,5,18.75,0,9999,1,1
CTM,Level,Y,Y,41.0,30,20.86,0,9999,1,1
CTM,Level,N,N,58.0,15,23.97,0,9999,1,1
CTM,Level,N,N,64.0,5,56.01,0,9999,1,1
CTM,Level with CI,Y,N,42.0,20,63.69,0,9999,1,1
MSM,Level with CI,Y,N,46.0,20,72.97,0,9999,1,1
Direct,Level,Y,N,61.0,20,135.14,0,9999,1,1
Direct,Level,N,Y,39.0,20,154.09,0,9999,1,1
CTM,Level,Y,N,32.0,10,176.85,0,9999,1,1
CTM,Level,Y,N,59.0,15,4.03,0,9999,1,1
Direct,Decreasing,Y,N,32.0,30,4.34,0,9999,1,1
CTM,Decreasing with CI,N,N,59.0,20,4.77,0,9999,1,1
MSM,Level,Y,Y,41.0,20,4.41,0,9999,1,1
MSM,Level,Y,Y,39.0,25,4.77,0,9999,1,1
CTM,Decreasing,Y,Y,42.0,15,5.24,0,9999,1,1
Direct,Decreasing,N,N,28.0,30,4.41,0,9999,1,1
CTM,Decreasing with CI,Y,Y,47.0,30,5.07,0,9999,1,1
CTM,Level,Y,N,48.0,30,5.61,0,9999,1,1
CTM,Decreasing with CI,N,N,47.0,20,14.02,0,9999,1,1
CTM,Level accelerated,N,N,56.0,30,15.21,0,9999,1,1
MSM,Decreasing with CI,Y,Y,50.0,30,17.15,0,9999,1,1
MSM,Level,N,Y,53.0,20,23.84,0,9999,1,1
CTM,Level,Y,N,40.0,10,26.09,0,9999,1,1
CTM,Level with CI,Y,Y,43.0,30,29.66,0,9999,1,1
Direct,Decreasing with CI,N,Y,42.0,40,54.99,0,9999,1,1
CTM,Level accelerated,Y,N,47.0,30,60.51,0,9999,1,1
CTM,Level,Y,N,49.0,20,69.07,0,9999,1,1
Direct,Level with CI,Y,N,39.0,40,8.62,0,9999,1,1
CTM,Level with CI,Y,Y,32.0,20,9.32,0,9999,1,1
Direct,Level with CI,Y,N,38.0,30,10.45,0,9999,1,1
Direct,Level,Y,N,59.0,30,13.45,0,9999,1,1
Direct,Level accelerated,Y,Y,54.0,25,14.63,0,9999,1,1
CTM,Decreasing with CI,Y,N,45.0,30,16.53,0,9999,1,1
CTM,Decreasing with CI,Y,N,46.0,15,25.08,0,9999,1,1
CTM,Decreasing with CI,N,Y,46.0,30,27.38,0,9999,1,1
MSM,Level,Y,Y,28.0,30,31.03,0,9999,1,1
Direct,Decreasing,N,Y,54.0,30,58.25,0,9999,1,1
MSM,Level,N,N,41.0,5,63.9,0,9999,1,1
CTM,Level,N,N,42.0,10,72.71,0,9999,1,1
Direct,Decreasing with CI,N,Y,53.0,20,37.71,0,583,0,1
Direct,Decreasing,Y,Y,36.0,30,37.71,0,583,0,1
MSM,Decreasing with CI,N,N,53.0,25,22.76,0,583,0,1
MSM,Level,N,N,41.0,15,64.16,0,576,0,1
Direct,Level,N,Y,21.0,20,139.06,0,576,0,1
Direct,Decreasing with CI,Y,Y,47.0,20,130.8,0,576,0,1
CTM,Level,Y,N,45.0,30,81.39,0,576,0,1
CTM,Level,Y,N,54.0,30,26.17,1,546,0,1
Direct,Level,Y,N,59.0,20,38.84,1,546,0,1
MSM,Level with CI,N,N,51.0,30,24.9,1,546,0,1
CTM,Level,Y,N,46.0,5,24.9,1,546,0,1
Direct,Level,N,N,46.0,20,24.9,1,546,0,1
CTM,Level,N,Y,47.0,30,11.69,0,557,0,1
CTM,Level with CI,Y,N,21.0,10,30.91,0,573,0,1
CTM,Decreasing accelerated,Y,Y,47.0,20,30.91,0,573,0,1
CTM,Level with CI,Y,N,46.0,10,30.91,0,573,0,1
CTM,Decreasing,Y,N,48.0,30,20.5,0,573,0,1
Direct,Level,Y,N,56.0,20,84.99,0,573,0,1
CTM,Decreasing with CI,N,N,39.0,20,31.92,0,573,0,1
CTM,Level,Y,N,45.0,15,40.47,0,573,0,1
CTM,Level with CI,N,Y,31.0,20,26.14,0,573,0,1
CTM,Decreasing with CI,N,Y,56.0,20,9.7,0,544,0,1
CTM,Level with CI,N,Y,50.0,10,9.7,0,544,0,1
CTM,Level with CI,Y,N,45.0,20,27.38,1,527,0,1
MSM,Decreasing accelerated,Y,Y,32.0,30,39.33,1,527,0,1
Direct,Decreasing,N,N,46.0,20,32.12,1,527,0,1
MSM,Decreasing with CI,Y,Y,53.0,20,24.2,1,527,0,1
CTM,Level,Y,N,55.0,20,28.24,1,527,0,1
Direct,Level accelerated,N,Y,46.0,20,30.37,1,527,0,1
CTM,Level with CI,N,Y,51.0,40,26.1,1,527,0,1
MSM,Level,N,N,43.0,30,28.24,1,527,0,1
CTM,Level,Y,Y,35.0,30,32.12,1,527,0,1
MSM,Decreasing with CI,Y,Y,47.0,20,102.66,0,489,1,1
Direct,Level,Y,N,32.0,30,24.85,0,556,0,1
Direct,Decreasing,N,Y,37.0,30,26.68,0,556,0,1
CTM,Decreasing with CI,Y,Y,49.0,20,61.5,1,544,0,1
Direct,Decreasing with CI,N,Y,51.0,20,7.77,0,538,0,1
Direct,Level,Y,N,35.0,5,6.23,0,9999,1,1
CTM,Level with CI,Y,N,53.0,30,8.76,0,9999,1,1
CTM,Level with CI,Y,N,44.0,40,9.9,0,9999,1,1
Direct,Level,Y,Y,33.0,20,11.06,0,9999,1,1
MSM,Decreasing accelerated,Y,N,38.0,5,3.59,0,9999,1,1
CTM,Level with CI,Y,N,42.0,20,3.9,0,9999,1,1
Direct,Level,Y,Y,51.0,30,4.3,0,9999,1,1
CTM,Level,Y,N,40.0,30,3.84,0,9999,1,1
CTM,Level,Y,N,43.0,30,4.19,0,9999,1,1
MSM,Level with CI,N,Y,46.0,30,4.62,0,9999,1,1
CTM,Level,Y,N,41.0,30,6.31,0,9999,1,1
CTM,Level with CI,Y,N,44.0,5,6.9,0,9999,1,1
CTM,Level,N,Y,44.0,20,7.6,0,9999,1,1
Direct,Level,N,Y,46.0,20,12.02,0,9999,1,1
CTM,Decreasing with CI,Y,Y,35.0,20,13.29,0,9999,1,1
MSM,Level accelerated,Y,N,57.0,30,14.7,0,9999,1,1
CTM,Level with CI,Y,N,44.0,30,28.1,0,542,0,1
CTM,Level accelerated,Y,Y,49.0,5,28.14,0,566,0,1
CTM,Decreasing with CI,Y,Y,43.0,30,24.74,0,499,1,1
Direct,Level with CI,N,N,46.0,20,24.69,1,542,0,1
CTM,Decreasing,Y,Y,50.0,30,16.08,1,542,0,1
CTM,Level,Y,N,44.0,10,16.08,1,542,0,1
MSM,Decreasing,Y,Y,39.0,30,68.84,0,500,1,1
Direct,Level,N,N,47.0,20,30.48,0,500,1,1
MSM,Level,Y,Y,46.0,40,29.58,0,500,1,1
Direct,Level with CI,Y,Y,33.0,10,29.58,0,500,1,1
Direct,Decreasing with CI,Y,Y,49.0,30,29.58,0,500,1,1
CTM,Level,Y,N,38.0,20,34.82,0,500,1,1
CTM,Decreasing with CI,N,N,51.0,20,29.58,0,500,1,1
CTM,Level with CI,Y,N,53.0,10,29.58,0,500,1,1
CTM,Level accelerated,N,N,50.0,30,55.75,0,500,1,1
CTM,Decreasing with CI,Y,N,44.0,30,81.93,0,500,1,1
CTM,Level,N,Y,51.0,5,7.77,0,538,0,1
MSM,Decreasing,Y,N,54.0,20,12.09,0,538,0,1
MSM,Level,Y,N,54.0,35,7.77,0,538,0,1
Direct,Level,Y,N,32.0,10,7.77,0,538,0,1
Direct,Decreasing with CI,Y,N,50.0,5,61.82,0,9999,1,1
Direct,Decreasing,N,Y,45.0,10,61.82,0,9999,1,1
CTM,Decreasing,N,N,45.0,20,61.82,0,9999,1,1
CTM,Level,N,Y,39.0,20,13.02,0,569,0,1
CTM,Level,N,N,58.0,20,13.02,0,569,0,1
CTM,Decreasing,N,Y,40.0,20,15.44,0,569,0,1
MSM,Decreasing with CI,N,Y,45.0,5,20.93,0,558,0,1
CTM,Level,N,N,43.0,20,24.1,0,9999,1,1
CTM,Level with CI,Y,Y,40.0,30,32.73,0,573,0,1
Direct,Decreasing with CI,Y,N,52.0,5,25.0,0,573,0,1
CTM,Level,N,N,50.0,30,25.0,0,573,0,1
CTM,Level with CI,Y,N,45.0,20,165.85,0,551,0,1
CTM,Decreasing accelerated,Y,N,40.0,5,4.58,1,9999,1,1
Direct,Level,Y,Y,39.0,20,4.58,1,9999,1,1
CTM,Decreasing accelerated,Y,Y,55.0,20,5.61,1,9999,1,1
Direct,Decreasing with CI,Y,Y,44.0,30,50.01,0,559,0,1
MSM,Decreasing with CI,Y,N,44.0,30,37.81,0,559,0,1
MSM,Level with CI,N,Y,41.0,20,21.22,0,557,0,1
CTM,Level with CI,N,Y,36.0,20,20.01,0,557,0,1
MSM,Level,Y,N,41.0,10,18.67,0,557,0,1
CTM,Decreasing,Y,N,34.0,20,20.01,0,557,0,1
Direct,Decreasing with CI,N,N,39.0,20,5.36,0,9999,1,1
CTM,Level accelerated,Y,N,47.0,5,5.36,0,9999,1,1
CTM,Level with CI,Y,Y,49.0,30,8.09,0,574,0,1
CTM,Level,N,Y,39.0,20,16.53,0,573,0,1
CTM,Decreasing,Y,N,45.0,15,16.53,0,573,0,1
MSM,Level with CI,Y,Y,37.0,20,6.34,0,538,0,1
MSM,Level with CI,Y,Y,40.0,10,5.53,0,538,0,1
CTM,Level,Y,N,60.0,20,7.74,0,538,0,1
CTM,Decreasing,Y,Y,39.0,35,5.53,0,538,0,1
MSM,Level,N,N,47.0,25,25.14,0,9999,1,1
Direct,Level with CI,Y,Y,21.0,25,15.68,0,9999,1,1
MSM,Decreasing with CI,N,Y,41.0,30,15.68,0,9999,1,1
CTM,Decreasing,N,Y,27.0,5,24.17,0,9999,1,1
Direct,Level with CI,Y,N,34.0,30,24.17,0,9999,1,1
Direct,Level with CI,N,Y,44.0,30,34.02,1,562,0,1
CTM,Decreasing with CI,Y,N,33.0,30,23.66,1,562,0,1
MSM,Decreasing with CI,N,N,45.0,20,23.66,1,562,0,1
Direct,Decreasing with CI,Y,Y,42.0,30,72.36,0,571,0,1
CTM,Decreasing,N,N,63.0,30,41.0,1,571,0,1
CTM,Level accelerated,Y,N,50.0,35,41.0,1,571,0,1
CTM,Level,Y,Y,46.0,30,41.0,1,571,0,1
MSM,Level with CI,N,N,30.0,10,26.54,0,9999,1,1
CTM,Level,Y,Y,41.0,10,18.93,0,559,0,1
MSM,Decreasing with CI,N,Y,47.0,20,17.94,0,559,0,1
CTM,Level,Y,N,46.0,10,45.65,0,9999,1,1
CTM,Level,Y,N,46.0,5,19.85,1,537,0,1
CTM,Decreasing accelerated,Y,N,46.0,20,19.85,1,537,0,1
MSM,Decreasing with CI,N,N,53.0,5,19.85,1,537,0,1
Direct,Level with CI,N,N,47.0,5,19.85,1,537,0,1
Direct,Level,N,Y,45.0,30,27.59,1,537,0,1
Direct,Level with CI,Y,N,45.0,30,22.43,1,537,0,1
Direct,Level,Y,N,48.0,10,21.14,1,537,0,1
CTM,Level,Y,N,58.0,5,16.48,0,564,0,1
Direct,Level with CI,N,N,59.0,10,16.48,0,564,0,1
CTM,Level,Y,Y,47.0,25,61.82,0,9999,1,1
Direct,Decreasing,Y,N,45.0,20,61.82,0,9999,1,1
CTM,Decreasing with CI,N,N,47.0,20,61.82,0,9999,1,1
CTM,Decreasing with CI,N,N,44.0,20,13.31,0,524,0,1
Direct,Level accelerated,Y,N,47.0,15,13.31,0,524,0,1
Direct,Decreasing with CI,N,N,48.0,30,13.31,0,524,0,1
CTM,Decreasing with CI,Y,N,56.0,30,14.74,1,549,0,1
CTM,Level,Y,N,36.0,40,35.91,0,584,0,1
CTM,Decreasing,Y,N,44.0,20,87.29,0,584,0,1
CTM,Level,Y,N,44.0,5,45.43,0,584,0,1
CTM,Level with CI,Y,N,59.0,25,35.91,0,584,0,1
Direct,Level with CI,Y,N,44.0,30,68.62,0,584,0,1
Direct,Level,Y,N,37.0,30,13.65,0,584,0,1
Direct,Decreasing accelerated,Y,N,37.0,20,381.22,0,9999,1,1
Direct,Decreasing,N,N,39.0,10,90.3,0,9999,1,1
Direct,Level,Y,N,47.0,25,100.98,0,9999,1,1
CTM,Level,Y,Y,56.0,15,90.3,0,9999,1,1
CTM,Level,Y,Y,44.0,10,111.66,0,9999,1,1
Direct,Level,Y,N,48.0,30,90.3,0,9999,1,1
CTM,Level,Y,N,38.0,20,10.0,0,559,0,1
MSM,Level,Y,Y,36.0,25,10.0,0,559,0,1
Direct,Level,N,N,49.0,20,52.99,0,559,0,1
CTM,Level,N,N,58.0,10,20.01,0,559,0,1
CTM,Decreasing with CI,Y,Y,49.0,20,15.93,0,9999,1,1
CTM,Level,Y,N,33.0,20,115.06,0,568,0,1
CTM,Level with CI,Y,N,42.0,20,226.64,0,568,0,1
CTM,Level,Y,N,54.0,15,115.06,0,568,0,1
CTM,Level with CI,Y,Y,50.0,30,15.0,1,568,0,1
CTM,Level,Y,N,48.0,30,36.6,0,558,0,1
CTM,Level,Y,N,51.0,30,36.6,0,558,0,1
CTM,Decreasing with CI,Y,Y,52.0,30,60.81,0,9999,1,1
Direct,Level,N,N,54.0,30,83.64,0,9999,1,1
Direct,Decreasing with CI,Y,Y,39.0,30,41.35,1,587,0,1
CTM,Level accelerated,N,Y,41.0,30,41.35,1,587,0,1
Direct,Level accelerated,N,N,49.0,20,41.35,1,587,0,1
Direct,Level,Y,N,48.0,20,41.35,1,587,0,1
CTM,Level with CI,Y,Y,48.0,20,41.35,1,587,0,1
CTM,Decreasing,Y,N,52.0,30,20.0,0,564,0,1
CTM,Decreasing with CI,Y,N,53.0,25,37.77,0,564,0,1
CTM,Decreasing accelerated,N,Y,34.0,10,8.21,0,561,0,1
CTM,Decreasing with CI,Y,N,52.0,10,11.96,0,561,0,1
Direct,Level,Y,N,34.0,10,18.35,0,561,0,1
CTM,Level,N,N,47.0,30,13.42,0,561,0,1
Direct,Level accelerated,Y,N,40.0,10,11.96,0,561,0,1
Direct,Level,Y,N,48.0,30,14.74,1,549,0,1
CTM,Decreasing with CI,Y,N,46.0,20,14.74,1,549,0,1
CTM,Decreasing with CI,N,Y,44.0,20,13.81,1,568,0,1
CTM,Decreasing,Y,Y,44.0,25,12.78,1,568,0,1
CTM,Level,N,N,45.0,30,13.81,1,568,0,1
CTM,Level,Y,N,53.0,20,134.71,0,539,0,1
CTM,Decreasing with CI,N,N,46.0,5,23.83,1,558,0,1
CTM,Level with CI,Y,N,32.0,10,23.83,0,558,0,1
Direct,Level with CI,N,N,35.0,5,23.83,0,558,0,1
CTM,Decreasing,N,Y,28.0,20,23.83,1,558,0,1
MSM,Decreasing accelerated,Y,N,62.0,30,23.83,1,558,0,1
MSM,Decreasing with CI,N,N,32.0,10,30.19,0,557,0,1
MSM,Decreasing,Y,Y,53.0,5,30.19,0,557,0,1
CTM,Level,N,N,47.0,30,16.22,0,561,0,1
CTM,Level,N,N,47.0,5,83.17,0,9999,1,1
Direct,Level accelerated,Y,Y,33.0,20,24.1,0,9999,1,1
CTM,Level with CI,N,N,54.0,20,24.1,0,9999,1,1
Direct,Decreasing with CI,N,N,43.0,30,28.26,1,9999,1,1
Direct,Level,Y,N,47.0,30,28.26,1,9999,1,1
Direct,Level,N,Y,46.0,5,28.26,1,9999,1,1
Direct,Level with CI,Y,N,34.0,10,28.26,1,9999,1,1
CTM,Decreasing with CI,N,Y,48.0,15,9.62,0,9999,1,1
MSM,Level,Y,N,41.0,10,9.62,0,9999,1,1
Direct,Level with CI,Y,N,48.0,20,9.62,0,9999,1,1
MSM,Decreasing with CI,Y,N,38.0,20,28.5,1,514,0,1
Direct,Decreasing accelerated,Y,N,42.0,30,28.5,1,514,0,1
CTM,Level,Y,N,35.0,20,28.5,1,514,0,1
CTM,Level with CI,Y,Y,51.0,35,28.5,1,514,0,1
CTM,Decreasing with CI,N,N,33.0,20,25.97,0,561,0,1
Direct,Level,N,N,44.0,5,11.96,0,561,0,1
Direct,Level,N,Y,45.0,20,10.21,0,561,0,1
MSM,Level,Y,N,32.0,20,159.19,0,9999,1,1
Direct,Level,N,N,43.0,30,159.19,0,9999,1,1
CTM,Level with CI,Y,Y,39.0,5,24.13,0,9999,1,1
MSM,Level with CI,Y,Y,45.0,5,71.64,0,539,0,1
Direct,Level,N,Y,55.0,20,31.37,1,568,0,1
CTM,Decreasing,N,Y,35.0,20,27.01,1,568,0,1
MSM,Decreasing accelerated,Y,N,33.0,20,34.16,1,568,0,1
CTM,Level,Y,N,47.0,10,18.0,1,568,0,1
MSM,Decreasing accelerated,Y,Y,40.0,20,13.81,1,568,0,1
CTM,Level,Y,N,33.0,30,13.81,1,568,0,1
CTM,Decreasing,Y,Y,31.0,30,37.46,0,535,0,1
Direct,Decreasing with CI,Y,N,54.0,5,37.46,0,535,0,1
CTM,Decreasing with CI,Y,Y,48.0,20,33.97,0,535,0,1
CTM,Level,N,N,53.0,10,43.1,1,561,0,1
Direct,Decreasing with CI,Y,N,45.0,10,54.83,0,555,0,1
MSM,Level,N,N,54.0,30,11.85,0,555,0,1
CTM,Level,N,N,27.0,10,29.4,1,567,0,1
CTM,Decreasing with CI,Y,N,51.0,5,29.4,1,567,0,1
CTM,Decreasing,N,Y,42.0,20,38.2,1,567,0,1
CTM,Decreasing with CI,Y,Y,39.0,10,38.2,1,567,0,1
Direct,Level with CI,N,Y,46.0,20,58.07,0,550,0,1
Direct,Level,N,N,58.0,20,101.52,0,550,0,1
CTM,Decreasing with CI,N,Y,46.0,20,168.68,0,541,0,0
CTM,Level,N,Y,40.0,25,130.22,0,541,0,0
Direct,Level with CI,N,N,41.0,20,40.69,0,555,0,1
CTM,Level with CI,Y,N,39.0,10,20.74,0,575,0,1
CTM,Decreasing,Y,N,47.0,5,24.07,0,572,0,1
CTM,Decreasing,Y,Y,32.0,20,24.07,0,572,0,1
MSM,Level with CI,Y,N,37.0,20,24.07,0,572,0,1
CTM,Decreasing with CI,Y,Y,45.0,35,27.64,0,532,0,1
CTM,Decreasing with CI,Y,Y,33.0,20,29.3,0,532,0,1
CTM,Decreasing with CI,Y,Y,43.0,20,12.99,0,538,0,1
CTM,Level with CI,N,N,48.0,10,99.93,0,556,0,1
MSM,Level with CI,N,N,43.0,10,102.51,1,556,0,1
MSM,Level with CI,Y,N,48.0,10,61.41,1,556,0,1
CTM,Decreasing with CI,N,N,45.0,30,89.46,1,556,0,1
CTM,Level with CI,Y,Y,45.0,5,61.41,1,556,0,1
MSM,Level,N,N,22.0,30,59.53,0,556,0,1
CTM,Level with CI,Y,Y,40.0,30,142.69,1,556,0,1
CTM,Level,Y,N,44.0,10,11.86,1,555,0,1
MSM,Level,Y,Y,39.0,20,11.86,1,555,0,1
CTM,Decreasing accelerated,Y,Y,44.0,30,11.86,1,555,0,1
CTM,Decreasing with CI,Y,Y,51.0,30,17.4,0,563,0,1
CTM,Level,Y,N,48.0,30,17.4,0,563,0,1
MSM,Decreasing accelerated,Y,N,39.0,10,26.69,0,545,0,1
Direct,Level with CI,Y,Y,36.0,20,12.95,0,545,0,1
Direct,Decreasing,Y,Y,37.0,35,24.13,0,9999,1,1
CTM,Decreasing accelerated,N,N,35.0,20,3.25,0,558,0,1
CTM,Level,N,N,43.0,20,5.54,1,559,0,1
CTM,Decreasing,Y,N,54.0,5,6.35,0,574,0,1
Direct,Decreasing accelerated,N,N,51.0,10,70.88,0,565,0,1
Direct,Level,N,Y,39.0,25,17.19,0,576,0,1
CTM,Decreasing,N,Y,34.0,10,21.97,0,576,0,1
CTM,Level with CI,N,N,41.0,20,3.25,0,558,0,1
MSM,Decreasing with CI,Y,Y,44.0,15,3.25,0,558,0,1
Direct,Level,N,N,54.0,30,13.75,0,573,0,1
Direct,Level,Y,Y,49.0,15,58.74,1,561,0,1
CTM,Level accelerated,Y,N,39.0,20,43.1,1,561,0,1
CTM,Level,Y,Y,43.0,30,43.1,1,561,0,1
Direct,Decreasing with CI,Y,N,46.0,20,11.2,1,561,0,1
MSM,Level,Y,Y,40.0,30,20.67,0,9999,1,1
CTM,Level with CI,Y,N,47.0,25,10.59,0,9999,1,1
Direct,Level,Y,N,44.0,15,12.1,0,9999,1,1
MSM,Decreasing with CI,Y,N,54.0,40,12.1,0,9999,1,1
CTM,Level with CI,Y,Y,46.0,30,16.93,0,9999,1,1
MSM,Level with CI,N,N,35.0,10,12.99,0,538,0,1
MSM,Decreasing with CI,Y,N,46.0,30,13.87,1,9999,1,1
Direct,Decreasing,N,Y,39.0,5,13.87,1,9999,1,1
Direct,Decreasing accelerated,N,N,32.0,10,13.87,1,9999,1,1
CTM,Level accelerated,N,Y,60.0,40,13.87,1,9999,1,1
MSM,Level,Y,Y,26.0,30,18.54,0,9999,1,1
Direct,Level,N,Y,54.0,20,4.4,0,552,0,1
Direct,Level,N,Y,39.0,20,11.87,0,525,1,1
Direct,Decreasing,Y,N,45.0,20,11.87,0,525,1,1
Direct,Level,N,Y,30.0,20,10.84,0,9999,1,1
Direct,Decreasing with CI,Y,N,44.0,20,10.84,0,9999,1,1
Direct,Decreasing with CI,N,Y,41.0,20,24.13,0,585,0,1
CTM,Level,N,N,37.0,30,26.32,0,585,0,1
CTM,Decreasing with CI,N,Y,60.0,35,26.32,0,585,0,1
CTM,Level with CI,N,N,46.0,20,15.17,0,576,0,1
MSM,Level,Y,Y,64.0,20,9.1,0,576,0,1
CTM,Decreasing,Y,N,43.0,5,12.03,0,576,0,1
Direct,Level,Y,Y,32.0,20,5.54,1,559,0,1
CTM,Level with CI,N,N,36.0,10,5.54,1,559,0,1
CTM,Decreasing,N,N,45.0,20,18.23,0,539,0,1
MSM,Level,Y,N,26.0,20,21.1,0,539,0,1
CTM,Level with CI,N,N,36.0,20,66.03,0,569,0,1
CTM,Level with CI,Y,N,54.0,30,19.37,0,532,0,1
CTM,Decreasing,Y,Y,39.0,20,17.19,0,567,0,1
Direct,Decreasing accelerated,Y,N,24.0,20,21.97,0,567,0,1
CTM,Level,N,Y,48.0,20,15.17,0,567,0,1
MSM,Level,N,N,51.0,30,9.1,0,567,0,1
Direct,Decreasing,N,N,38.0,10,12.03,0,567,0,1
MSM,Level with CI,N,Y,47.0,30,25.0,0,578,0,0
Direct,Level accelerated,Y,Y,46.0,30,25.0,0,578,0,0
CTM,Level,N,Y,40.0,35,55.27,0,9999,1,1
MSM,Level,Y,N,43.0,30,12.55,0,540,0,1
CTM,Decreasing,Y,N,43.0,20,14.2,0,550,0,1
CTM,Level,Y,N,51.0,10,10.0,0,550,0,1
CTM,Level,Y,N,46.0,10,14.2,0,550,0,1
Direct,Level,Y,Y,39.0,20,56.96,0,569,0,1
Direct,Level with CI,Y,N,39.0,25,67.26,0,569,0,1
Direct,Decreasing,Y,Y,46.0,20,79.48,0,569,0,1
MSM,Level,N,N,39.0,25,79.48,0,569,0,1
CTM,Level,Y,N,52.0,15,24.08,0,569,0,1
Direct,Level,Y,N,54.0,20,27.64,0,532,0,1
MSM,Level with CI,Y,N,38.0,10,29.3,0,532,0,1
Direct,Decreasing,N,Y,36.0,30,25.92,0,572,0,1
CTM,Decreasing with CI,Y,N,45.0,10,22.62,0,572,0,1
CTM,Decreasing with CI,Y,Y,53.0,5,25.92,0,572,0,1
Direct,Decreasing,N,Y,44.0,20,13.2,0,572,0,1
MSM,Level,Y,Y,47.0,40,6.41,1,561,0,1
CTM,Decreasing,Y,N,46.0,20,6.41,1,561,0,1
Direct,Level,Y,Y,39.0,30,87.79,0,563,0,1
MSM,Level with CI,N,Y,47.0,20,34.91,0,563,0,1
Direct,Level,Y,N,37.0,10,34.91,0,563,0,1
Direct,Decreasing,N,Y,28.0,20,41.01,0,563,0,1
CTM,Decreasing with CI,Y,N,36.0,20,34.91,0,563,0,1
Direct,Decreasing,Y,Y,47.0,5,20.61,0,563,0,1
MSM,Decreasing with CI,Y,N,54.0,30,8.89,1,553,0,1
CTM,Level with CI,Y,N,35.0,20,8.89,1,553,0,1
CTM,Level,N,Y,47.0,5,8.89,1,553,0,1
Direct,Level with CI,N,N,51.0,40,8.22,1,553,0,1
Direct,Level,Y,N,57.0,30,6.53,1,553,0,1
CTM,Level,Y,Y,44.0,40,8.22,1,553,0,1
CTM,Decreasing accelerated,Y,N,40.0,30,6.53,1,553,0,1
CTM,Level,N,N,47.0,20,94.45,0,568,0,1
CTM,Level,Y,Y,41.0,10,7.49,0,567,0,1
MSM,Decreasing,N,Y,24.0,30,39.52,0,547,0,1
Direct,Decreasing,N,N,45.0,20,39.52,0,547,0,1
CTM,Level,N,N,43.0,20,6.41,1,561,0,1
CTM,Decreasing with CI,N,N,50.0,20,6.41,1,561,0,1
MSM,Level,N,Y,56.0,20,6.41,1,561,0,1
MSM,Level,Y,N,46.0,25,8.68,1,561,0,1
CTM,Level with CI,Y,N,46.0,20,6.41,1,561,0,1
CTM,Level,Y,Y,38.0,10,9.97,0,545,0,1
CTM,Level,Y,Y,46.0,20,9.97,0,545,0,1
CTM,Level with CI,N,N,47.0,25,13.58,0,545,0,1
CTM,Level accelerated,Y,N,52.0,10,3.41,0,9999,1,1
Direct,Level with CI,Y,N,59.0,40,3.66,0,9999,1,1
Direct,Level with CI,Y,N,41.0,20,4.0,0,9999,1,1
CTM,Decreasing with CI,N,N,41.0,25,3.67,0,9999,1,1
