Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,Sale,JF (Score),EF (No. of people not same surname at current address),ND (Months since last CCJ)
Direct,Level,N,N,39.0,15,40.55,N,9999,,
CTM,Decreasing,N,Y,41.0,5,16.46,N,9999,,
CTM,Level accelerated,Y,Y,38.0,10,18.48,N,9999,,
CTM,Level with CI,Y,N,44.0,5,21.02,N,9999,,
Direct,Decreasing with CI,N,Y,43.0,30,29.64,N,9999,,
CTM,Level,Y,Y,41.0,30,33.54,N,9999,,
Direct,Decreasing with CI,N,N,43.0,30,38.33,N,9999,,
Direct,Decreasing with CI,Y,N,42.0,35,16.19,N,9999,,
CTM,Level with CI,Y,N,46.0,15,18.92,N,9999,,
CTM,Level,Y,Y,45.0,20,21.77,N,9999,,
Direct,Level,Y,N,37.0,30,5.39,N,9999,,
Direct,Level with CI,Y,Y,44.0,30,6.07,N,9999,,
CTM,Level with CI,Y,N,38.0,25,13.36,Y,558,1.0,-999997.0
CTM,Decreasing,Y,N,35.0,30,13.36,Y,558,1.0,-999997.0
MSM,Level with CI,N,Y,29.0,20,13.36,Y,558,1.0,-999997.0
Direct,Level,N,N,46.0,25,9.06,N,549,4.0,-999997.0
Direct,Level,N,Y,54.0,20,9.06,N,549,4.0,-999997.0
Direct,Level with CI,N,Y,39.0,25,46.44,N,565,10.0,-999997.0
CTM,Decreasing accelerated,Y,N,49.0,15,41.3,N,563,35.0,-999997.0
CTM,Decreasing with CI,Y,N,53.0,10,41.3,N,563,35.0,-999997.0
CTM,Level with CI,Y,N,58.0,30,16.63,N,543,2.0,-999997.0
MSM,Decreasing accelerated,Y,N,43.0,20,16.63,N,543,2.0,-999997.0
CTM,Level with CI,N,Y,45.0,30,13.36,Y,558,1.0,-999997.0
Direct,Level,Y,Y,44.0,20,27.48,N,9999,,
MSM,Level with CI,N,N,58.0,20,6.86,N,9999,,
MSM,Level accelerated,Y,N,47.0,30,8.09,N,9999,,
CTM,Level with CI,Y,N,42.0,30,9.29,N,9999,,
MSM,Level with CI,N,N,39.0,30,10.59,N,9999,,
MSM,Level with CI,N,N,50.0,25,24.14,N,9999,,
Direct,Level,N,N,40.0,30,28.06,N,9999,,
MSM,Decreasing accelerated,N,N,59.0,20,32.68,N,9999,,
CTM,Decreasing,Y,N,61.0,20,4.04,N,9999,,
MSM,Decreasing accelerated,Y,N,46.0,30,4.47,N,9999,,
Direct,Level,N,N,32.0,10,5.0,N,9999,,
Direct,Level with CI,N,N,32.0,20,46.79,N,9999,,
CTM,Decreasing with CI,Y,Y,40.0,30,86.16,N,9999,,
Direct,Decreasing with CI,Y,N,41.0,10,96.69,N,9999,,
CTM,Decreasing,Y,N,56.0,20,111.88,N,9999,,
MSM,Decreasing accelerated,N,N,36.0,35,13.43,N,9999,,
CTM,Level with CI,N,N,43.0,20,15.31,N,9999,,
CTM,Level,N,N,51.0,30,19.65,N,9999,,
Direct,Level with CI,N,N,45.0,30,21.84,N,9999,,
CTM,Decreasing accelerated,Y,N,40.0,10,52.85,N,9999,,
CTM,Decreasing with CI,Y,N,41.0,20,60.05,N,9999,,
Direct,Level with CI,Y,N,41.0,30,68.61,N,9999,,
CTM,Level with CI,Y,N,49.0,20,127.19,N,9999,,
MSM,Level,Y,Y,49.0,20,25.08,N,9999,,
MSM,Decreasing with CI,Y,N,54.0,10,36.28,N,9999,,
CTM,Level accelerated,Y,N,37.0,30,34.4,N,9999,,
CTM,Level,N,Y,54.0,30,38.51,N,9999,,
CTM,Level with CI,Y,N,44.0,10,44.47,N,9999,,
CTM,Level with CI,Y,Y,32.0,20,81.33,N,9999,,
Direct,Level,Y,Y,34.0,30,91.45,N,9999,,
CTM,Level,Y,Y,51.0,20,105.94,N,9999,,
Direct,Level with CI,N,Y,32.0,30,9.06,N,9999,,
CTM,Level,Y,N,35.0,20,9.76,N,9999,,
Direct,Level with CI,Y,Y,44.0,30,10.92,N,9999,,
Direct,Decreasing with CI,N,N,53.0,25,48.34,N,585,6.0,-999997.0
CTM,Decreasing,Y,N,50.0,30,25.07,N,9999,,
CTM,Level accelerated,N,Y,35.0,30,11.63,N,9999,,
CTM,Level with CI,Y,Y,56.0,30,11.63,N,9999,,
CTM,Level,Y,Y,47.0,40,12.3,N,543,2.0,-999997.0
Direct,Decreasing,Y,Y,46.0,15,52.03,N,531,5.0,-999997.0
Direct,Level,N,N,44.0,30,30.0,N,531,5.0,-999997.0
Direct,Level,N,Y,46.0,10,25.14,N,546,0.0,-999997.0
CTM,Decreasing accelerated,N,N,57.0,30,25.14,N,546,0.0,-999997.0
Direct,Decreasing accelerated,Y,N,48.0,20,54.53,Y,544,4.0,-999997.0
MSM,Level with CI,Y,Y,62.0,20,54.53,Y,544,4.0,-999997.0
CTM,Level,N,N,55.0,25,54.53,Y,544,4.0,-999997.0
MSM,Decreasing,N,N,52.0,20,30.95,N,556,7.0,-999997.0
CTM,Level with CI,N,N,47.0,30,30.89,N,556,7.0,-999997.0
CTM,Level,Y,Y,35.0,10,24.99,N,556,7.0,-999997.0
CTM,Level,Y,N,24.0,10,24.99,N,556,7.0,-999997.0
Direct,Level,Y,N,34.0,10,30.89,N,556,7.0,-999997.0
CTM,Decreasing with CI,Y,N,33.0,20,144.95,N,9999,,
Direct,Level,N,Y,39.0,5,165.94,N,9999,,
CTM,Level with CI,N,Y,35.0,20,15.69,N,9999,,
CTM,Level,Y,N,45.0,25,17.59,N,9999,,
CTM,Decreasing with CI,Y,Y,44.0,20,19.94,N,9999,,
Direct,Level,N,N,45.0,10,28.07,N,9999,,
Direct,Level,N,N,60.0,30,31.73,N,9999,,
CTM,Decreasing,N,Y,56.0,30,36.16,N,9999,,
Direct,Decreasing,Y,N,51.0,20,11.47,N,9999,,
CTM,Level with CI,N,Y,44.0,20,12.67,N,9999,,
CTM,Decreasing with CI,Y,Y,47.0,10,14.45,N,9999,,
MSM,Decreasing with CI,N,N,34.0,5,18.75,N,9999,,
CTM,Level,Y,Y,41.0,30,20.86,N,9999,,
CTM,Level,N,N,58.0,15,23.97,N,9999,,
CTM,Level,N,N,64.0,5,56.01,N,9999,,
CTM,Level with CI,Y,N,42.0,20,63.69,N,9999,,
MSM,Level with CI,Y,N,46.0,20,72.97,N,9999,,
Direct,Level,Y,N,61.0,20,135.14,N,9999,,
Direct,Level,N,Y,39.0,20,154.09,N,9999,,
CTM,Level,Y,N,32.0,10,176.85,N,9999,,
CTM,Level,Y,N,59.0,15,4.03,N,9999,,
Direct,Decreasing,Y,N,32.0,30,4.34,N,9999,,
CTM,Decreasing with CI,N,N,59.0,20,4.77,N,9999,,
MSM,Level,Y,Y,41.0,20,4.41,N,9999,,
MSM,Level,Y,Y,39.0,25,4.77,N,9999,,
CTM,Decreasing,Y,Y,42.0,15,5.24,N,9999,,
Direct,Decreasing,N,N,28.0,30,4.41,N,9999,,
CTM,Decreasing with CI,Y,Y,47.0,30,5.07,N,9999,,
CTM,Level,Y,N,48.0,30,5.61,N,9999,,
CTM,Decreasing with CI,N,N,47.0,20,14.02,N,9999,,
CTM,Level accelerated,N,N,56.0,30,15.21,N,9999,,
MSM,Decreasing with CI,Y,Y,50.0,30,17.15,N,9999,,
MSM,Level,N,Y,53.0,20,23.84,N,9999,,
CTM,Level,Y,N,40.0,10,26.09,N,9999,,
CTM,Level with CI,Y,Y,43.0,30,29.66,N,9999,,
Direct,Decreasing with CI,N,Y,42.0,40,54.99,N,9999,,
CTM,Level accelerated,Y,N,47.0,30,60.51,N,9999,,
CTM,Level,Y,N,49.0,20,69.07,N,9999,,
Direct,Level with CI,Y,N,39.0,40,8.62,N,9999,,
CTM,Level with CI,Y,Y,32.0,20,9.32,N,9999,,
Direct,Level with CI,Y,N,38.0,30,10.45,N,9999,,
Direct,Level,Y,N,59.0,30,13.45,N,9999,,
Direct,Level accelerated,Y,Y,54.0,25,14.63,N,9999,,
CTM,Decreasing with CI,Y,N,45.0,30,16.53,N,9999,,
CTM,Decreasing with CI,Y,N,46.0,15,25.08,N,9999,,
CTM,Decreasing with CI,N,Y,46.0,30,27.38,N,9999,,
MSM,Level,Y,Y,28.0,30,31.03,N,9999,,
Direct,Decreasing,N,Y,54.0,30,58.25,N,9999,,
MSM,Level,N,N,41.0,5,63.9,N,9999,,
CTM,Level,N,N,42.0,10,72.71,N,9999,,
Direct,Decreasing with CI,N,Y,53.0,20,37.71,N,583,0.0,-999997.0
Direct,Decreasing,Y,Y,36.0,30,37.71,N,583,0.0,-999997.0
MSM,Decreasing with CI,N,N,53.0,25,22.76,N,583,0.0,-999997.0
MSM,Level,N,N,41.0,15,64.16,N,576,2.0,-999997.0
Direct,Level,N,Y,21.0,20,139.06,N,576,2.0,-999997.0
Direct,Decreasing with CI,Y,Y,47.0,20,130.8,N,576,2.0,-999997.0
CTM,Level,Y,N,45.0,30,81.39,N,576,2.0,-999997.0
CTM,Level,Y,N,54.0,30,26.17,Y,546,16.0,-999997.0
Direct,Level,Y,N,59.0,20,38.84,Y,546,16.0,-999997.0
MSM,Level with CI,N,N,51.0,30,24.9,Y,546,16.0,-999997.0
CTM,Level,Y,N,46.0,5,24.9,Y,546,16.0,-999997.0
Direct,Level,N,N,46.0,20,24.9,Y,546,16.0,-999997.0
CTM,Level,N,Y,47.0,30,11.69,N,557,7.0,-999997.0
CTM,Level with CI,Y,N,21.0,10,30.91,N,573,9.0,-999997.0
CTM,Decreasing accelerated,Y,Y,47.0,20,30.91,N,573,9.0,-999997.0
CTM,Level with CI,Y,N,46.0,10,30.91,N,573,9.0,-999997.0
CTM,Decreasing,Y,N,48.0,30,20.5,N,573,9.0,-999997.0
Direct,Level,Y,N,56.0,20,84.99,N,573,9.0,-999997.0
CTM,Decreasing with CI,N,N,39.0,20,31.92,N,573,9.0,-999997.0
CTM,Level,Y,N,45.0,15,40.47,N,573,9.0,-999997.0
CTM,Level with CI,N,Y,31.0,20,26.14,N,573,9.0,-999997.0
CTM,Decreasing with CI,N,Y,56.0,20,9.7,N,544,4.0,-999997.0
CTM,Level with CI,N,Y,50.0,10,9.7,N,544,4.0,-999997.0
CTM,Level with CI,Y,N,45.0,20,27.38,Y,527,7.0,-999997.0
MSM,Decreasing accelerated,Y,Y,32.0,30,39.33,Y,527,7.0,-999997.0
Direct,Decreasing,N,N,46.0,20,32.12,Y,527,7.0,-999997.0
MSM,Decreasing with CI,Y,Y,53.0,20,24.2,Y,527,7.0,-999997.0
CTM,Level,Y,N,55.0,20,28.24,Y,527,7.0,-999997.0
Direct,Level accelerated,N,Y,46.0,20,30.37,Y,527,7.0,-999997.0
CTM,Level with CI,N,Y,51.0,40,26.1,Y,527,7.0,-999997.0
MSM,Level,N,N,43.0,30,28.24,Y,527,7.0,-999997.0
CTM,Level,Y,Y,35.0,30,32.12,Y,527,7.0,-999997.0
MSM,Decreasing with CI,Y,Y,47.0,20,102.66,N,489,-999997.0,
Direct,Level,Y,N,32.0,30,24.85,N,556,7.0,-999997.0
Direct,Decreasing,N,Y,37.0,30,26.68,N,556,7.0,-999997.0
CTM,Decreasing with CI,Y,Y,49.0,20,61.5,Y,544,4.0,-999997.0
Direct,Decreasing with CI,N,Y,51.0,20,7.77,N,538,5.0,-999997.0
Direct,Level,Y,N,35.0,5,6.23,N,9999,,
CTM,Level with CI,Y,N,53.0,30,8.76,N,9999,,
CTM,Level with CI,Y,N,44.0,40,9.9,N,9999,,
Direct,Level,Y,Y,33.0,20,11.06,N,9999,,
MSM,Decreasing accelerated,Y,N,38.0,5,3.59,N,9999,,
CTM,Level with CI,Y,N,42.0,20,3.9,N,9999,,
Direct,Level,Y,Y,51.0,30,4.3,N,9999,,
CTM,Level,Y,N,40.0,30,3.84,N,9999,,
CTM,Level,Y,N,43.0,30,4.19,N,9999,,
MSM,Level with CI,N,Y,46.0,30,4.62,N,9999,,
CTM,Level,Y,N,41.0,30,6.31,N,9999,,
CTM,Level with CI,Y,N,44.0,5,6.9,N,9999,,
CTM,Level,N,Y,44.0,20,7.6,N,9999,,
Direct,Level,N,Y,46.0,20,12.02,N,9999,,
CTM,Decreasing with CI,Y,Y,35.0,20,13.29,N,9999,,
MSM,Level accelerated,Y,N,57.0,30,14.7,N,9999,,
CTM,Level with CI,Y,N,44.0,30,28.1,N,542,0.0,-999997.0
CTM,Level accelerated,Y,Y,49.0,5,28.14,N,566,16.0,-999997.0
CTM,Decreasing with CI,Y,Y,43.0,30,24.74,N,499,-999997.0,
Direct,Level with CI,N,N,46.0,20,24.69,Y,542,6.0,-999997.0
CTM,Decreasing,Y,Y,50.0,30,16.08,Y,542,6.0,-999997.0
CTM,Level,Y,N,44.0,10,16.08,Y,542,6.0,-999997.0
MSM,Decreasing,Y,Y,39.0,30,68.84,N,500,-999997.0,
Direct,Level,N,N,47.0,20,30.48,N,500,-999997.0,
MSM,Level,Y,Y,46.0,40,29.58,N,500,-999997.0,
Direct,Level with CI,Y,Y,33.0,10,29.58,N,500,-999997.0,
Direct,Decreasing with CI,Y,Y,49.0,30,29.58,N,500,-999997.0,
CTM,Level,Y,N,38.0,20,34.82,N,500,-999997.0,
CTM,Decreasing with CI,N,N,51.0,20,29.58,N,500,-999997.0,
CTM,Level with CI,Y,N,53.0,10,29.58,N,500,-999997.0,
CTM,Level accelerated,N,N,50.0,30,55.75,N,500,-999997.0,
CTM,Decreasing with CI,Y,N,44.0,30,81.93,N,500,-999997.0,
CTM,Level,N,Y,51.0,5,7.77,N,538,5.0,-999997.0
MSM,Decreasing,Y,N,54.0,20,12.09,N,538,5.0,-999997.0
MSM,Level,Y,N,54.0,35,7.77,N,538,5.0,-999997.0
Direct,Level,Y,N,32.0,10,7.77,N,538,5.0,-999997.0
Direct,Decreasing with CI,Y,N,50.0,5,61.82,N,9999,,
Direct,Decreasing,N,Y,45.0,10,61.82,N,9999,,
CTM,Decreasing,N,N,45.0,20,61.82,N,9999,,
CTM,Level,N,Y,39.0,20,13.02,N,569,4.0,-999997.0
CTM,Level,N,N,58.0,20,13.02,N,569,4.0,-999997.0
CTM,Decreasing,N,Y,40.0,20,15.44,N,569,4.0,-999997.0
MSM,Decreasing with CI,N,Y,45.0,5,20.93,N,558,5.0,-999997.0
CTM,Level,N,N,43.0,20,24.1,N,9999,,
CTM,Level with CI,Y,Y,40.0,30,32.73,N,573,17.0,-999997.0
Direct,Decreasing with CI,Y,N,52.0,5,25.0,N,573,17.0,-999997.0
CTM,Level,N,N,50.0,30,25.0,N,573,17.0,-999997.0
CTM,Level with CI,Y,N,45.0,20,165.85,N,551,2.0,-999997.0
CTM,Decreasing accelerated,Y,N,40.0,5,4.58,Y,9999,,
Direct,Level,Y,Y,39.0,20,4.58,Y,9999,,
CTM,Decreasing accelerated,Y,Y,55.0,20,5.61,Y,9999,,
Direct,Decreasing with CI,Y,Y,44.0,30,50.01,N,559,9.0,-999997.0
MSM,Decreasing with CI,Y,N,44.0,30,37.81,N,559,9.0,-999997.0
MSM,Level with CI,N,Y,41.0,20,21.22,N,557,11.0,-999997.0
CTM,Level with CI,N,Y,36.0,20,20.01,N,557,11.0,-999997.0
MSM,Level,Y,N,41.0,10,18.67,N,557,11.0,-999997.0
CTM,Decreasing,Y,N,34.0,20,20.01,N,557,11.0,-999997.0
Direct,Decreasing with CI,N,N,39.0,20,5.36,N,9999,,
CTM,Level accelerated,Y,N,47.0,5,5.36,N,9999,,
CTM,Level with CI,Y,Y,49.0,30,8.09,N,574,2.0,-999997.0
CTM,Level,N,Y,39.0,20,16.53,N,573,8.0,-999997.0
CTM,Decreasing,Y,N,45.0,15,16.53,N,573,8.0,-999997.0
MSM,Level with CI,Y,Y,37.0,20,6.34,N,538,11.0,-999997.0
MSM,Level with CI,Y,Y,40.0,10,5.53,N,538,11.0,-999997.0
CTM,Level,Y,N,60.0,20,7.74,N,538,11.0,-999997.0
CTM,Decreasing,Y,Y,39.0,35,5.53,N,538,11.0,-999997.0
MSM,Level,N,N,47.0,25,25.14,N,9999,,
Direct,Level with CI,Y,Y,21.0,25,15.68,N,9999,,
MSM,Decreasing with CI,N,Y,41.0,30,15.68,N,9999,,
CTM,Decreasing,N,Y,27.0,5,24.17,N,9999,,
Direct,Level with CI,Y,N,34.0,30,24.17,N,9999,,
Direct,Level with CI,N,Y,44.0,30,34.02,Y,562,10.0,-999997.0
CTM,Decreasing with CI,Y,N,33.0,30,23.66,Y,562,10.0,-999997.0
MSM,Decreasing with CI,N,N,45.0,20,23.66,Y,562,10.0,-999997.0
Direct,Decreasing with CI,Y,Y,42.0,30,72.36,N,571,0.0,-999997.0
CTM,Decreasing,N,N,63.0,30,41.0,Y,571,0.0,-999997.0
CTM,Level accelerated,Y,N,50.0,35,41.0,Y,571,0.0,-999997.0
CTM,Level,Y,Y,46.0,30,41.0,Y,571,0.0,-999997.0
MSM,Level with CI,N,N,30.0,10,26.54,N,9999,,
CTM,Level,Y,Y,41.0,10,18.93,N,559,3.0,-999997.0
MSM,Decreasing with CI,N,Y,47.0,20,17.94,N,559,3.0,-999997.0
CTM,Level,Y,N,46.0,10,45.65,N,9999,,
CTM,Level,Y,N,46.0,5,19.85,Y,537,6.0,-999997.0
CTM,Decreasing accelerated,Y,N,46.0,20,19.85,Y,537,6.0,-999997.0
MSM,Decreasing with CI,N,N,53.0,5,19.85,Y,537,6.0,-999997.0
Direct,Level with CI,N,N,47.0,5,19.85,Y,537,6.0,-999997.0
Direct,Level,N,Y,45.0,30,27.59,Y,537,6.0,-999997.0
Direct,Level with CI,Y,N,45.0,30,22.43,Y,537,6.0,-999997.0
Direct,Level,Y,N,48.0,10,21.14,Y,537,6.0,-999997.0
CTM,Level,Y,N,58.0,5,16.48,N,564,14.0,-999997.0
Direct,Level with CI,N,N,59.0,10,16.48,N,564,14.0,-999997.0
CTM,Level,Y,Y,47.0,25,61.82,N,9999,,
Direct,Decreasing,Y,N,45.0,20,61.82,N,9999,,
CTM,Decreasing with CI,N,N,47.0,20,61.82,N,9999,,
CTM,Decreasing with CI,N,N,44.0,20,13.31,N,524,7.0,-999997.0
Direct,Level accelerated,Y,N,47.0,15,13.31,N,524,7.0,-999997.0
Direct,Decreasing with CI,N,N,48.0,30,13.31,N,524,7.0,-999997.0
CTM,Decreasing with CI,Y,N,56.0,30,14.74,Y,549,6.0,-999997.0
CTM,Level,Y,N,36.0,40,35.91,N,584,1.0,-999997.0
CTM,Decreasing,Y,N,44.0,20,87.29,N,584,1.0,-999997.0
CTM,Level,Y,N,44.0,5,45.43,N,584,1.0,-999997.0
CTM,Level with CI,Y,N,59.0,25,35.91,N,584,1.0,-999997.0
Direct,Level with CI,Y,N,44.0,30,68.62,N,584,1.0,-999997.0
Direct,Level,Y,N,37.0,30,13.65,N,584,1.0,-999997.0
Direct,Decreasing accelerated,Y,N,37.0,20,381.22,N,9999,,
Direct,Decreasing,N,N,39.0,10,90.3,N,9999,,
Direct,Level,Y,N,47.0,25,100.98,N,9999,,
CTM,Level,Y,Y,56.0,15,90.3,N,9999,,
CTM,Level,Y,Y,44.0,10,111.66,N,9999,,
Direct,Level,Y,N,48.0,30,90.3,N,9999,,
CTM,Level,Y,N,38.0,20,10.0,N,559,8.0,-999997.0
MSM,Level,Y,Y,36.0,25,10.0,N,559,8.0,-999997.0
Direct,Level,N,N,49.0,20,52.99,N,559,8.0,-999997.0
CTM,Level,N,N,58.0,10,20.01,N,559,8.0,-999997.0
CTM,Decreasing with CI,Y,Y,49.0,20,15.93,N,9999,,
CTM,Level,Y,N,33.0,20,115.06,N,568,19.0,-999997.0
CTM,Level with CI,Y,N,42.0,20,226.64,N,568,19.0,-999997.0
CTM,Level,Y,N,54.0,15,115.06,N,568,19.0,-999997.0
CTM,Level with CI,Y,Y,50.0,30,15.0,Y,568,6.0,-999997.0
CTM,Level,Y,N,48.0,30,36.6,N,558,14.0,-999997.0
CTM,Level,Y,N,51.0,30,36.6,N,558,14.0,-999997.0
CTM,Decreasing with CI,Y,Y,52.0,30,60.81,N,9999,,
Direct,Level,N,N,54.0,30,83.64,N,9999,,
Direct,Decreasing with CI,Y,Y,39.0,30,41.35,Y,587,4.0,-999997.0
CTM,Level accelerated,N,Y,41.0,30,41.35,Y,587,4.0,-999997.0
Direct,Level accelerated,N,N,49.0,20,41.35,Y,587,4.0,-999997.0
Direct,Level,Y,N,48.0,20,41.35,Y,587,4.0,-999997.0
CTM,Level with CI,Y,Y,48.0,20,41.35,Y,587,4.0,-999997.0
CTM,Decreasing,Y,N,52.0,30,20.0,N,564,1.0,-999997.0
CTM,Decreasing with CI,Y,N,53.0,25,37.77,N,564,1.0,-999997.0
CTM,Decreasing accelerated,N,Y,34.0,10,8.21,N,561,3.0,-999997.0
CTM,Decreasing with CI,Y,N,52.0,10,11.96,N,561,3.0,-999997.0
Direct,Level,Y,N,34.0,10,18.35,N,561,3.0,-999997.0
CTM,Level,N,N,47.0,30,13.42,N,561,3.0,-999997.0
Direct,Level accelerated,Y,N,40.0,10,11.96,N,561,3.0,-999997.0
Direct,Level,Y,N,48.0,30,14.74,Y,549,6.0,-999997.0
CTM,Decreasing with CI,Y,N,46.0,20,14.74,Y,549,6.0,-999997.0
CTM,Decreasing with CI,N,Y,44.0,20,13.81,Y,568,6.0,-999997.0
CTM,Decreasing,Y,Y,44.0,25,12.78,Y,568,6.0,-999997.0
CTM,Level,N,N,45.0,30,13.81,Y,568,6.0,-999997.0
CTM,Level,Y,N,53.0,20,134.71,N,539,2.0,-999997.0
CTM,Decreasing with CI,N,N,46.0,5,23.83,Y,558,0.0,-999997.0
CTM,Level with CI,Y,N,32.0,10,23.83,N,558,0.0,-999997.0
Direct,Level with CI,N,N,35.0,5,23.83,N,558,0.0,-999997.0
CTM,Decreasing,N,Y,28.0,20,23.83,Y,558,0.0,-999997.0
MSM,Decreasing accelerated,Y,N,62.0,30,23.83,Y,558,0.0,-999997.0
MSM,Decreasing with CI,N,N,32.0,10,30.19,N,557,3.0,-999997.0
MSM,Decreasing,Y,Y,53.0,5,30.19,N,557,3.0,-999997.0
CTM,Level,N,N,47.0,30,16.22,N,561,12.0,-999997.0
CTM,Level,N,N,47.0,5,83.17,N,9999,,
Direct,Level accelerated,Y,Y,33.0,20,24.1,N,9999,,
CTM,Level with CI,N,N,54.0,20,24.1,N,9999,,
Direct,Decreasing with CI,N,N,43.0,30,28.26,Y,9999,,
Direct,Level,Y,N,47.0,30,28.26,Y,9999,,
Direct,Level,N,Y,46.0,5,28.26,Y,9999,,
Direct,Level with CI,Y,N,34.0,10,28.26,Y,9999,,
CTM,Decreasing with CI,N,Y,48.0,15,9.62,N,9999,,
MSM,Level,Y,N,41.0,10,9.62,N,9999,,
Direct,Level with CI,Y,N,48.0,20,9.62,N,9999,,
MSM,Decreasing with CI,Y,N,38.0,20,28.5,Y,514,14.0,-999997.0
Direct,Decreasing accelerated,Y,N,42.0,30,28.5,Y,514,14.0,-999997.0
CTM,Level,Y,N,35.0,20,28.5,Y,514,14.0,-999997.0
CTM,Level with CI,Y,Y,51.0,35,28.5,Y,514,14.0,-999997.0
CTM,Decreasing with CI,N,N,33.0,20,25.97,N,561,3.0,-999997.0
Direct,Level,N,N,44.0,5,11.96,N,561,3.0,-999997.0
Direct,Level,N,Y,45.0,20,10.21,N,561,3.0,-999997.0
MSM,Level,Y,N,32.0,20,159.19,N,9999,,
Direct,Level,N,N,43.0,30,159.19,N,9999,,
CTM,Level with CI,Y,Y,39.0,5,24.13,N,9999,,
MSM,Level with CI,Y,Y,45.0,5,71.64,N,539,2.0,-999997.0
Direct,Level,N,Y,55.0,20,31.37,Y,568,6.0,-999997.0
CTM,Decreasing,N,Y,35.0,20,27.01,Y,568,6.0,-999997.0
MSM,Decreasing accelerated,Y,N,33.0,20,34.16,Y,568,6.0,-999997.0
CTM,Level,Y,N,47.0,10,18.0,Y,568,6.0,-999997.0
MSM,Decreasing accelerated,Y,Y,40.0,20,13.81,Y,568,6.0,-999997.0
CTM,Level,Y,N,33.0,30,13.81,Y,568,6.0,-999997.0
CTM,Decreasing,Y,Y,31.0,30,37.46,N,535,10.0,-999997.0
Direct,Decreasing with CI,Y,N,54.0,5,37.46,N,535,10.0,-999997.0
CTM,Decreasing with CI,Y,Y,48.0,20,33.97,N,535,10.0,-999997.0
CTM,Level,N,N,53.0,10,43.1,Y,561,3.0,-999997.0
Direct,Decreasing with CI,Y,N,45.0,10,54.83,N,555,7.0,-999997.0
MSM,Level,N,N,54.0,30,11.85,N,555,7.0,-999997.0
CTM,Level,N,N,27.0,10,29.4,Y,567,12.0,-999997.0
CTM,Decreasing with CI,Y,N,51.0,5,29.4,Y,567,12.0,-999997.0
CTM,Decreasing,N,Y,42.0,20,38.2,Y,567,12.0,-999997.0
CTM,Decreasing with CI,Y,Y,39.0,10,38.2,Y,567,12.0,-999997.0
Direct,Level with CI,N,Y,46.0,20,58.07,N,550,6.0,-999997.0
Direct,Level,N,N,58.0,20,101.52,N,550,6.0,-999997.0
CTM,Decreasing with CI,N,Y,46.0,20,168.68,N,541,15.0,63.0
CTM,Level,N,Y,40.0,25,130.22,N,541,15.0,63.0
Direct,Level with CI,N,N,41.0,20,40.69,N,555,15.0,-999997.0
CTM,Level with CI,Y,N,39.0,10,20.74,N,575,7.0,-999997.0
CTM,Decreasing,Y,N,47.0,5,24.07,N,572,4.0,-999997.0
CTM,Decreasing,Y,Y,32.0,20,24.07,N,572,4.0,-999997.0
MSM,Level with CI,Y,N,37.0,20,24.07,N,572,4.0,-999997.0
CTM,Decreasing with CI,Y,Y,45.0,35,27.64,N,532,3.0,-999997.0
CTM,Decreasing with CI,Y,Y,33.0,20,29.3,N,532,3.0,-999997.0
CTM,Decreasing with CI,Y,Y,43.0,20,12.99,N,538,3.0,-999997.0
CTM,Level with CI,N,N,48.0,10,99.93,N,556,14.0,-999997.0
MSM,Level with CI,N,N,43.0,10,102.51,Y,556,14.0,-999997.0
MSM,Level with CI,Y,N,48.0,10,61.41,Y,556,14.0,-999997.0
CTM,Decreasing with CI,N,N,45.0,30,89.46,Y,556,14.0,-999997.0
CTM,Level with CI,Y,Y,45.0,5,61.41,Y,556,14.0,-999997.0
MSM,Level,N,N,22.0,30,59.53,N,556,14.0,-999997.0
CTM,Level with CI,Y,Y,40.0,30,142.69,Y,556,14.0,-999997.0
CTM,Level,Y,N,44.0,10,11.86,Y,555,15.0,-999997.0
MSM,Level,Y,Y,39.0,20,11.86,Y,555,15.0,-999997.0
CTM,Decreasing accelerated,Y,Y,44.0,30,11.86,Y,555,15.0,-999997.0
CTM,Decreasing with CI,Y,Y,51.0,30,17.4,N,563,0.0,-999997.0
CTM,Level,Y,N,48.0,30,17.4,N,563,0.0,-999997.0
MSM,Decreasing accelerated,Y,N,39.0,10,26.69,N,545,4.0,-999997.0
Direct,Level with CI,Y,Y,36.0,20,12.95,N,545,4.0,-999997.0
Direct,Decreasing,Y,Y,37.0,35,24.13,N,9999,,
CTM,Decreasing accelerated,N,N,35.0,20,3.25,N,558,1.0,-999997.0
CTM,Level,N,N,43.0,20,5.54,Y,559,4.0,-999997.0
CTM,Decreasing,Y,N,54.0,5,6.35,N,574,2.0,-999997.0
Direct,Decreasing accelerated,N,N,51.0,10,70.88,N,565,8.0,-999997.0
Direct,Level,N,Y,39.0,25,17.19,N,576,22.0,-999997.0
CTM,Decreasing,N,Y,34.0,10,21.97,N,576,22.0,-999997.0
CTM,Level with CI,N,N,41.0,20,3.25,N,558,1.0,-999997.0
MSM,Decreasing with CI,Y,Y,44.0,15,3.25,N,558,1.0,-999997.0
Direct,Level,N,N,54.0,30,13.75,N,573,4.0,-999997.0
Direct,Level,Y,Y,49.0,15,58.74,Y,561,3.0,-999997.0
CTM,Level accelerated,Y,N,39.0,20,43.1,Y,561,3.0,-999997.0
